anon_student_id,diagram_use,proactive_use,symbolic_incorrect_rate,diagram_incorrect_rate,hint_use,proactive_use_proportion,reactive_use,reactive_use_proportion,condition,school,class,grade,ck_pre,ck_td_pre,ck,ck_td,survey_pre,survey_ave,pk_pre,pk_td_pre,pk,pk_td,transfer_duse,transfer_eq,transfer_solve,transfer_sum,problems_solved,ck_lg,pk_lg
niceemu,0,0,0.072992700729927,0.2033898305084746,0,NA,0,NA,Y,B,7H,7,14,2,14,2,4,3.6,5,2,5,2,0,1,0,1,47,0,NA
nicefish,0.2807017543859649,0.17543859649122806,0.14035087719298245,0.11702127659574468,0.15789473684210523,0.625,0.10526315789473684,0.375,Y,B,6A,6,9,2,12,1,4,2.6,0,0,5,2,1,0,0,0,40,0.42857142857142855,1
nicefox,0,0,0.02222222222222222,0.01612903225806451,0,NA,0,NA,Y,B,6A,6,12,3,10,1,4.2,1.8,4,2,5,2,0,0,0,0,40,-0.5,1
nicegoat,0.27419354838709675,0.20967741935483872,0.967741935483871,0.35555555555555557,1.1774193548387095,0.7647058823529412,0.06451612903225803,0.2352941176470587,Y,B,8G,8,10,2,9,2,2.8,4.4,5,2,3,1,1,0,0,0,15,-0.16666666666666666,0
nicegoose,0.09195402298850576,0.04597701149425287,0.47126436781609193,1.0441176470588236,0.16091954022988506,0.5,0.04597701149425287,0.5,Y,B,6A,6,2,1,11,1,3,1.4,2,1,5,2,0,0,0,0,32,0.6428571428571429,1
nicehorse,0.20689655172413793,0.19540229885057472,0.1724137931034483,0.09090909090909093,0,0.9444444444444444,0.0114942528735632,0.05555555555555549,Y,B,6B,6,8,1,9,2,3.2,3,1,0,3,1,1,0,0,0,31,0.125,0.5
nicejellyfish,0.03448275862068965,0.03448275862068965,0.05747126436781609,0.08064516129032258,0.03448275862068965,1,0,0,Y,B,8H,8,14,3,12,2,1.2,1.4,4,2,4,2,0,1,1,2,47,-1,0
nicekoala,0,0,0.07865168539325842,0.01694915254237288,0.10112359550561796,NA,0,NA,Y,B,6B,6,12,1,13,1,3.6,2.4,3,1,5,2,1,0,0,0,47,0.25,1
nicelion,0.01149425287356321,0,0.1724137931034483,0.15,0,0,0.01149425287356321,1,Y,B,6B,6,14,2,12,1,2.2,2.2,1,1,4,1,0,0,0,0,47,-1,0.75
nicemole,0.05747126436781609,0.03448275862068965,0.11494252873563218,0.109375,0,0.6,0.02298850574712643,0.4,Y,B,8H,8,12,3,11,2,1.2,1.4,5,2,4,2,1,1,0,1,47,-0.25,0
orangealpaca,0.6551724137931034,0.3218390804597701,0.05747126436781609,0.1826086956521739,0,0.4912280701754386,0.3333333333333333,0.5087719298245614,N,W,P1,7,10,1,10,1,2.8,4.4,0,0,0,0,1,0,0,0,46,0,0
